Ownership ID,Terminal ID,Company ID,Company / Partner,Relationship,Equity %,Operating Control,Status,Details,Source URL
OWN00001,TERM0001,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://dpw-prod-cd-1.dpworld.com/australia/ports-and-terminals/dp-world-sydney
OWN00002,TERM0002,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://dpw-prod-cd-1.dpworld.com/australia/ports-and-terminals/dp-world-brisbane
OWN00003,TERM0003,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://dpw-prod-cd-1.dpworld.com/australia/ports-and-terminals/dp-world-melbourne
OWN00004,TERM0004,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://dpw-prod-cd-1.dpworld.com/australia/ports-and-terminals/dp-world-fremantle
OWN00005,TERM0005,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/china/qingdao-port
OWN00006,TERM0006,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/china/yantai-port
OWN00007,TERM0007,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/china/hong-kong-port/contact-us
OWN00008,TERM0008,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/china/yiwu-port
OWN00009,TERM0009,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/indonesia/belawan-port
OWN00010,TERM0010,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/news/dp-world-breaks-ground-on-new-container-terminal-in-east-java
OWN00011,TERM0011,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/malaysia/sapangar-bay-port
OWN00012,TERM0012,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/news/dp-world-and-asian-terminals-inc-invest-us100-million-to-boost-capacity-at-manila-south-harbour
OWN00013,TERM0013,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/philippines/batangas-port
OWN00014,TERM0014,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/philippines/cavite-port
OWN00015,TERM0015,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/south-korea/pnc-port
OWN00016,TERM0016,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/news/dp-world-secures-laem-chabang-concession-extension-amid-rising-intra-asia-trade
OWN00017,TERM0017,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/vietnam/spct-port
OWN00018,TERM0018,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/belgium/antwerp
OWN00019,TERM0018,COMP_TERMINAL_LINK,Terminal Link,Operator / portfolio relationship,,,Current / see source,51% CMA Terminals Holding / 49% CM Port (portfolio-level structure),https://www.terminal-link.com/ports/location
OWN00020,TERM0019,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/cyprus/limassol
OWN00021,TERM0020,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/netherlands/rotterdam-world
OWN00022,TERM0021,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/romania/constanta
OWN00023,TERM0022,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/eu-intermodal/novi-sad
OWN00024,TERM0023,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/turkiye/yarimca
OWN00025,TERM0024,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/turkiye/korfez
OWN00026,TERM0025,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/ukraine/pivdennyi
OWN00027,TERM0026,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/united-kingdom/london-gateway/infrastructure-facts
OWN00028,TERM0027,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/united-kingdom/southampton/infrastructure-facts
OWN00029,TERM0028,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/angola/luanda
OWN00030,TERM0029,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/algeria/djazair
OWN00031,TERM0030,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/algeria/djendjen
OWN00032,TERM0031,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/egypt/sokhna/infrastructure-facts
OWN00033,TERM0032,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/india/nsict/infrastructure
OWN00034,TERM0033,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/india/nsigt/infrastructure
OWN00035,TERM0034,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/india/mict/infrastructure
OWN00036,TERM0035,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/india/cct/infrastructure
OWN00037,TERM0036,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/india/ictt/infrastructure
OWN00038,TERM0037,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/news/india/dp-world-signs-concession-to-develop-tuna-tekra-mega-container-terminal-in-india
OWN00039,TERM0038,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/mozambique/maputo
OWN00040,TERM0039,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/pakistan/qasim
OWN00041,TERM0040,COMP_DPW,DP World,Operator / portfolio relationship,,,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/saudi-arabia/jeddah
OWN00042,TERM0040,COMP_APMT,DP World,Operator / portfolio relationship,,Yes,Current / see source,APM Terminals to acquire 37.5%; DP World retains 62.5% and operations,https://www2.apmterminals.com/en/news/news-releases/2026/260218-APM-Terminals-DPWorld-strategic-partnership-Jeddah-Islamic-Port
OWN00043,TERM0041,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://dpw-prod-cd-1.dpworld.com/senegal/ports-and-terminals
OWN00044,TERM0042,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/senegal
OWN00045,TERM0043,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/somaliland/berbera
OWN00046,TERM0044,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/dar-es-salaam/infrastructure
OWN00047,TERM0045,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/uae/jebel-ali-port
OWN00048,TERM0046,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/uae/mina-al-hamriya
OWN00049,TERM0047,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/uae/dubai-creek-and-deira-wharfage
OWN00050,TERM0048,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://education.dpworld.com/educator/vr-port-tours/
OWN00051,TERM0049,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/news/dp-world-to-expand-uae-gateway-network-with-new-fujairah-terminals
OWN00052,TERM0050,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/news/dp-world-to-expand-uae-gateway-network-with-new-fujairah-terminals
OWN00053,TERM0051,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/news/dp-world-and-democratic-republic-of-the-congo-sign-final-agreement-to-develop-banana-port
OWN00054,TERM0052,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/argentina/trp
OWN00055,TERM0053,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/brazil/santos
OWN00056,TERM0054,COMP_DPW,DP World,Operator / portfolio relationship,,Yes,Current / see source,DP World operating/ownership structure; see source notes,https://www.dpworld.com/en/ports-terminals/chile/san-antonio
